`capabilityGuid`|`CapabilityType`|`CapabilityOrder`|`capabilityDropdown`
`f30a63bb-e185-4829-957d-06c0f7ab1749`|`Practice Areas`|`1`|`Practices`
`4d22f445-806c-47a0-a633-50d96c967bb2`|`Practice Areas`|`2`|`Practices`
`d9966413-8d34-43b9-a288-1ee16774acc5`|`Practice Areas`|`3`|`Practices`
`2ea10bd4-f0d0-4596-a52b-1c4ad9f60586`|`Practice Areas`|`4`|`Practices`
`5cfc4d9d-e18d-4631-b446-0673cf7d0084`|`Practice Areas`|`5`|`Practices`
`bcef256d-36b9-4448-a8b6-424a6f9f0c7b`|`Practice Areas`|`6`|`Practices`
`aaaf1b72-2329-4802-827b-4a520af0e3fa`|`Practice Areas`|`7`|`Practices`
`898b195e-cb94-4bf6-b6b3-0ad7a899f612`|`Practice Areas`|`8`|`Practices`
`67168af6-ed79-41e3-9ec3-100d683706eb`|`Practice Areas`|`9`|`Practices`
`9b5b871b-8d37-48ca-8d30-047e12d3a057`|`Practice Areas`|`10`|`Practices`
`3d653ada-8a17-4161-a873-49464edbb23f`|`Practice Areas`|`11`|`Practices`
`a2c167ee-97fd-4614-8c26-242f728ed188`|`Practice Areas`|`12`|`Practices`
`7151d078-4f48-4daf-9e73-4f092998840c`|`Practice Areas`|`13`|`Practices`
`ff2c29b4-f86c-4927-afaa-0197036b4621`|`Practice Areas`|`14`|`Practices`
`d44408a2-f9eb-45de-9cac-0507ddb69dc8`|`Practice Areas`|`15`|`Practices`
`ffddcf10-b605-4caa-8008-065283d61377`|`Practice Areas`|`16`|`Practices`
`d633607c-cdbd-4cc6-9b83-4570cd6d09fd`|`Practice Areas`|`17`|`Practices`
`11515852-b226-4f7a-bfc5-022d93f6d767`|`Practice Areas`|`18`|`Practices`
`7673db63-848b-477b-853b-756cd5836aea`|`Practice Areas`|`19`|`Practices`
`454013a8-edef-4502-95d5-0bc99ffdf3ee`|`Practice Areas`|`20`|`Practices`
`763fb385-6920-4289-96dd-3c61bb11dc87`|`Industries`|`1`|`Industries`
`4b24771a-ce44-4a0e-83ee-1ffc8e9c79f6`|`Industries`|`2`|`Industries`
`86240c64-7070-4087-a445-0beaf521db9c`|`Industries`|`3`|`Industries`
`099d7224-f0c0-49f6-b360-f7d795480fd2`|`Industries`|`4`|`Industries`
`ed9e236e-0a0a-4895-a334-2e49fa5ca6b1`|`Industries`|`5`|`Industries`
`7a79b9f6-1b56-4c98-9303-c8c924f4a79b`|`Capabilities  No Landing`|`6`|`Industries`
`e90b0682-fd4b-4e3e-a6a7-a55d4ac98fa4`|`Capabilities  No Landing`|`7`|`Industries`
`68e1eff7-cf45-458f-beb4-df3b72af78dd`|`Industries`|`8`|`Industries`
`e1f517d6-040e-4276-a9c7-6665baf7a56d`|`Industries`|`9`|`Industries`
`4fe98365-9283-4c77-8fcd-2af6cb2a0e53`|`Industries`|`10`|`Industries`
`50979abf-412b-405c-bf67-1807f054ea29`|`Industries`|`11`|`Industries`
`9d18180f-93a6-4d2e-b046-f8bd26d70728`|`Industries`|`12`|`Industries`
`640650e3-5005-45aa-810f-7cf0f06a140f`|`Industries`|`13`|`Industries`
`c8b9b114-93c3-4dd0-a077-e27a53f9a92e`|`Capabilities  No Landing`|`14`|`Industries`
`4677e1d9-4c11-4dbd-89e9-9c68a9b297a1`|`Industries`|`15`|`Industries`
`03a875e1-b7ac-405e-8972-5547747012ee`|`Industries`|`16`|`Industries`
`efe022ed-5518-4e55-aacc-91d21e0365b2`|`Industries`|`17`|`Industries`
`9028d9bc-5a2b-4931-b2d9-39c7c71215ca`|`Regions`|`1`|`Regions`
`c2b1d718-1bf0-4dec-afb0-3007580f6fdc`|`Regions`|`2`|`Regions`
`10a7c3ed-a587-400f-8d98-022e89f31f0a`|`Regions`|`3`|`Regions`
`a4f9edc3-8be4-42cf-ae17-74f929d961c3`|`Regions`|`4`|`Regions`
`2f8dfb1a-49e0-4e04-8809-59c4e6c0a534`|`Regions`|`5`|`Regions`
`7f7d4c7b-5597-4510-825a-a715ecbfaa04`|`Regions`|`6`|`Regions`
